Phage,Host,label
NZ_JBPOEO010000011,brown algae,1
NZ_JARGCP010000000,Tilapia,1
NZ_JARGCP010000033,Tilapia,1
NZ_JARGCP010000032,Tilapia,1
NZ_JARGCP010000031,Tilapia,1
NZ_JARGCP010000030,Tilapia,1
NZ_JARGCP010000029,Tilapia,1
NZ_JARGCP010000028,Tilapia,1
NZ_JARGCP010000027,Tilapia,1
NZ_JARGCP010000026,Tilapia,1
NZ_JARGCP010000025,Tilapia,1
NZ_JARGCP010000024,Tilapia,1
NZ_JARGCP010000023,Tilapia,1
NZ_JARGCP010000022,Tilapia,1
NZ_JARGCP010000021,Tilapia,1
NZ_JARGCP010000020,Tilapia,1
NZ_JARGCP010000019,Tilapia,1
NZ_JARGCP010000018,Tilapia,1
NZ_JARGCP010000017,Tilapia,1
NZ_JARGCP010000016,Tilapia,1
NZ_JARGCP010000015,Tilapia,1
NZ_JARGCP010000014,Tilapia,1
NZ_JARGCP010000013,Tilapia,1
NZ_JARGCP010000012,Tilapia,1
NZ_JARGCP010000011,Tilapia,1
NZ_JARGCP010000010,Tilapia,1
NZ_JARGCP010000009,Tilapia,1
NZ_JARGCP010000008,Tilapia,1
NZ_JARGCP010000007,Tilapia,1
NZ_JARGCP010000006,Tilapia,1
NZ_JARGCP010000005,Tilapia,1
NZ_JARGCP010000004,Tilapia,1
NZ_JARGCP010000003,Tilapia,1
NZ_JARGCP010000002,Tilapia,1
NZ_JARGCP010000001,Tilapia,1
NZ_WTLS01000305,chicken,1
NZ_WTLS01000207,chicken,1
NZ_WCEW01000015,Homo sapiens,1
NZ_WJRI01000001,Homo sapiens,1
NZ_SQDU01000179,Homo sapiens,1
NZ_SQDR01000062,Homo sapiens,1
NZ_SSRK01000120,egg laying hen,1
NZ_SSQF01000130,egg laying hen,1
NZ_SSRP01000030,egg laying hen,1
NZ_SSQG01000053,egg laying hen,1
NZ_SROK01000174,beef cattle,1
NZ_QAEX01000009,Sus scrofa,1
NZ_RZDG01000047,Homo sapiens,1
NZ_MTWZ01000003,Sus scrofa domesticus,1
NZ_MTXQ01000048,Homo sapiens,1
NZ_RRVG01000001,Homo sapiens,1
NZ_JNND01000014,Homo sapiens,1
NZ_AMTP01000031,Bos taurus,1
AP041814,Homo sapiens,1
AP041809,Homo sapiens,1
AP041805,Homo sapiens,1
CP152402,Magallana gigas,1
NZ_JBDLBM010000516,Homo sapiens,1
